,iupac,smiles,expt,calc
374,3-methylpyridine,Cc1cccnc1,-4.77,-3.221
26,2-methylpropan-2-ol,CC(C)(C)O,-4.47,-3.288
116,1-methoxypropane,CCCOC,-1.66,-0.598
271,"2,3,4-trimethylpentane",CC(C)C(C)C(C)C,2.56,2.674
73,octan-2-one,CCCCCCC(=O)C,-2.88,-2.758
462,3-nitroaniline,c1cc(cc(c1)[N+](=O)[O-])N,-8.84,-8.204
146,methylsulfanylbenzene,CSc1ccccc1,-2.73,-1.325
52,2-iodophenol,c1ccc(c(c1)O)I,-6.2,-3.221
246,"1-amino-4-hydroxy-9,10-anthracenedione",c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,-9.53,-10.984
490,1-nitropentane,CCCCC[N+](=O)[O-],-2.82,-1.325
404,"2,3-dimethylphenol",Cc1cccc(c1C)O,-6.16,-5.148
455,thiophene,c1ccsc1,-1.4,-0.359
31,"penta-1,4-diene",C=CCC=C,0.93,2.357
414,nitralin,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],-7.98,-11.246
463,hex-1-yne,CCCCC#C,0.29,0.553
51,2-methylbutan-1-ol,CC[C@@H](C)CO,-4.42,-2.995
627,2-methoxyphenol,COc1ccccc1O,-5.94,-4.746
252,1-iodohexane,CCCCCCI,0.08,0.043
357,2-nitroaniline,c1ccc(c(c1)N)[N+](=O)[O-],-7.37,-7.66
375,"1,1,1,2-tetramethoxyethane",COCC(OC)(OC)OC,-5.73,-5.436
225,naphthalene,c1ccc2ccccc2c1,-2.4,-3.213
100,1-chloropropane,CCCCl,-0.33,0.973
544,endrin,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-4.82,-5.179
564,"1,1,1-trifluoropropan-2-ol",C[C@@H](C(F)(F)F)O,-4.16,-3.518
505,"2,5-dimethylpyridine",Cc1ccc(nc1)C,-4.72,-3.165
291,1-chlorobutane,CCCCCl,-0.16,0.993
389,1-benzylimidazole,c1ccc(cc1)Cn2ccnc2,-7.63,-7.997
257,isohexane,CCCC(C)C,2.51,2.808
301,2-methylbut-2-ene,CC=C(C)C,1.31,2.272
467,naphthalen-1-ol,c1ccc2c(c1)cccc2O,-7.67,-7.137
593,bromobenzene,c1ccc(cc1)Br,-1.46,-0.947
110,ethyl benzoate,CCOC(=O)c1ccccc1,-3.64,-4.597
530,methylsulfanylethane,CCSC,-1.5,0.386
524,"1,1-diethoxyethane",CCOC(C)OCC,-3.28,-1.795
222,heptachlor,C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-2.55,-0.974
9,butan-2-ol,CC[C@H](C)O,-4.62,-3.145
144,propyl propanoate,CCCOC(=O)CC,-2.44,-2.453
364,methylsulfinylmethane,CS(=O)C,-9.28,-8.243
127,iodomethane,CI,-0.89,-0.641
232,"2,7-dichlorodibenzo-p-dioxin",c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.67,-3.321
589,5-chlorouracil,c1c(c(=O)[nH]c(=O)[nH]1)Cl,-17.74,-16.612
446,hexane,CCCCCC,2.48,2.851
207,hexyl nitrate,CCCCCCO[N+](=O)[O-],-1.66,-1.596
106,"hexa-1,5-diene",C=CCCC=C,1.01,2.487
444,"2,3-diacetoxypropyl acetate",CC(=O)OCC(COC(=O)C)OC(=O)C,-8.84,-12.333
32,"2-(2,3-dimethylphenyl)aminobenzoic acid",Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78,-7.665
566,oct-1-ene,CCCCCCC=C,1.92,2.895
587,isopropyl formate,CC(C)OC=O,-2.02,-3.591
298,"1,2-diethoxyethane",CCOCCOCC,-3.54,-3.42
492,"N,N-dimethyl-4-nitro-benzamide",CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-11.95,-10.036
554,"3,5-dimethylpyridine",Cc1cc(cnc1)C,-4.84,-2.869
458,"1,2,3,4-tetrachloro-5-(2,3,4,6-tetrachlorophenyl)benzene",c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,-4.61,-0.039
72,2-(nitrooxy)ethan-1-ol,C(CO[N+](=O)[O-])O,-8.18,-6.676
511,sec-butylbenzene,CC[C@H](C)c1ccccc1,-0.45,-0.22
355,heptanal,CCCCCCC=O,-2.67,-2.704
281,prop-1-yne,CC#C,-0.48,0.065
239,anthracene,c1ccc2cc3ccccc3cc2c1,-3.95,-5.187
261,1-iodopentane,CCCCCI,-0.14,-0.111
259,"2-chloro-1,1,1-trifluoro-ethane",C(C(F)(F)F)Cl,0.06,0.233
526,methanethiol,CS,-1.2,-0.273
513,"2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate",CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],-6.23,-5.378
383,1-chlorodibenzo-p-dioxin,c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52,-4.473
45,methyl butanoate,CCCC(=O)OC,-2.83,-3.552
422,dialifor,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74,-16.515
62,"1,2-bis(trifluoromethyl)benzene",c1ccc(c(c1)C(F)(F)F)C(F)(F)F,1.07,-1.441
189,"1,2,3-trichlorobenzene",c1cc(c(c(c1)Cl)Cl)Cl,-1.24,-0.51
283,propionic acid,CCC(=O)O,-6.46,-9.088
319,iodoethane,CCI,-0.74,-0.609
568,propan-2-ol,CC(C)O,-4.74,-3.427
480,"2,3-dimethylpyridine",Cc1cccnc1C,-4.82,-3.367
54,but-1-yne,CCC#C,-0.16,0.284
556,methyl formate,COC=O,-2.78,-4.028
97,isobutane,CC(C)C,2.3,2.535
269,"(2E)-3,7-dimethylocta-2,6-dien-1-ol",CC(=CCC/C(=C/CO)/C)C,-4.45,-2.518
34,N-ethylethanamine,CCNCC,-4.07,-2.986
362,"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47,-18.095
96,"2-chloro-1,1,1-trimethoxy-ethane",COC(CCl)(OC)OC,-4.59,-3.638
536,"1,3,5-trichlorobenzene",c1c(cc(cc1Cl)Cl)Cl,-0.78,0.326
453,ethanethiol,CCS,-1.14,-0.395
30,p-xylene,Cc1ccc(cc1)C,-0.8,-0.658
67,butadiene,C=CC=C,0.56,1.955
407,"1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine",CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],-5.66,-7.503
378,dimethyl sulfate,COS(=O)(=O)OC,-5.1,-8.411
303,"3,3-dimethylpentane",CCC(C)(C)CC,2.56,2.593
6,"2,3-dimethylbutane",CC(C)C(C)C,2.34,2.468
405,methylparathion,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-7.19,-10.466
450,"2,6-dimethylaniline",Cc1cccc(c1N)C,-5.21,-5.57
