,iupac,smiles,expt,calc
296,isobutyl formate,CC(C)COC=O,-2.22,-3.458
300,4-propylphenol,CCCc1ccc(cc1)O,-5.21,-5.211
302,"1,2-dichloroethane",C(CCl)Cl,-1.79,-0.363
307,2-ethoxyethyl acetate,CCOCCOC(=O)C,-5.31,-5.751
308,3-methoxyaniline,COc1cccc(c1)N,-7.29,-7.201
313,dimethoxymethane,COCOC,-2.93,-3.221
314,pentan-3-ol,CCC(CC)O,-4.35,-2.786
318,"3,5,5-trimethylcyclohex-2-en-1-one",CC1=CC(=O)CC(C1)(C)C,-5.18,-4.088
325,3-ethylphenol,CCc1cccc(c1)O,-6.25,-5.272
329,pent-2-ene,CC/C=C\C,1.31,2.374
330,ethane,CC,1.83,2.465
334,"3,4-dichlorophenol",c1cc(c(cc1O)Cl)Cl,-7.29,-5.139
336,"2,5-dimethylphenol",Cc1ccc(c(c1)O)C,-5.91,-5.014
338,chloro-fluoro-methane,C(F)Cl,-0.77,-0.171
339,pent-1-ene,CCCC=C,1.68,2.532
344,[2-benzhydryloxyethyl]-dimethyl-amine,CN(C)CCOC(c1ccccc1)c2ccccc2,-9.34,-7.873
347,cyclohexanone,C1CCC(=O)CC1,-4.91,-4.18
351,1-nitroethane,CC[N+](=O)[O-],-3.71,-1.839
352,3-chloropyridine,c1cc(cnc1)Cl,-4.01,-2.767
361,"(2S,5R)-2-isopropyl-5-methylcyclohexanone",C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53,-3.523
367,1-bromobutane,CCCCBr,-0.4,0.705
376,9H-fluorene,c1ccc-2c(c1)Cc3c2cccc3,-3.35,-4.269
377,acetamide,CC(=O)N,-9.71,-8.82
384,"3,3,3-trimethoxypropanenitrile",COC(CC#N)(OC)OC,-6.4,-5.859
391,diethyl propanedioate,CCOC(=O)CC(=O)OCC,-6.0,-6.716
397,Amitriptyline,CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.43,-7.349
401,1-ethyl-2-methylbenzene,CCc1ccccc1C,-0.85,-0.761
411,methyl pentanoate,CCCCC(=O)OC,-2.56,-3.492
415,chloroethylene,C=CCl,-0.59,1.162
416,"N,N-4-trimethylbenzamide",Cc1ccc(cc1)C(=O)N(C)C,-9.76,-8.081
420,propyl butanoate,CCCC(=O)OCCC,-2.28,-2.754
421,piperazine,C1CNCCN1,-7.4,-8.481
423,2-ethoxyethanol,CCOCCO,-6.69,-4.407
424,3-methylpentane,CCC(C)CC,2.51,2.613
432,dichlobenil,c1cc(c(c(c1)Cl)C#N)Cl,-4.71,-3.32
433,ethyl formate,CCOC=O,-2.56,-3.867
437,octan-1-ol,CCCCCCCCO,-4.09,-2.69
442,methyldisulfanylmethane,CSSC,-1.83,-0.093
443,captan,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-9.01,-8.718
449,5-trifluoromethyluracil,c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,-15.46,-17.349
460,acetic acid,CC(=O)O,-6.69,-7.281
464,2-methoxyaniline,COc1ccccc1N,-6.12,-6.771
466,propanenitrile,CCC#N,-3.84,-2.491
469,aldicarb,CC(C)(/C=N\OC(=O)NC)SC,-9.84,-9.679
471,2-methylpropanal,CC(C)C=O,-2.86,-2.968
475,"1,3-dichloropropane",C(CCl)CCl,-1.89,-0.416
477,"1,2-dichloropropane",C[C@@H](CCl)Cl,-1.27,-0.265
478,4-chloroaniline,c1cc(ccc1N)Cl,-5.9,-5.281
484,2-methylbenzaldehyde,Cc1ccccc1C=O,-3.93,-4.554
487,acetone,CC(=O)C,-3.8,-3.506
493,tetrahydrofuran,C1CCOC1,-3.47,-2.201
495,trifluralin,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.25,-2.023
497,"1,3-bis-(nitrooxy)butane",C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29,-4.944
502,1-butoxybutane,CCCCOCCCC,-0.83,0.139
507,3-methylhexane,CCC[C@H](C)CC,2.71,2.81
514,methyl 4-methoxybenzoate,COc1ccc(cc1)C(=O)OC,-5.33,-6.462
525,"N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline",CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.51,-2.303
529,prop-2-en-1-ol,C=CCO,-5.03,-3.286
532,"1,2,3,5-tetrachlorobenzene",c1c(cc(c(c1Cl)Cl)Cl)Cl,-1.62,0.136
533,1-phenylethanone,CC(=O)c1ccccc1,-4.58,-5.078
535,propylcyclopentane,CCCC1CCCC1,2.13,2.102
540,pentan-1-amine,CCCCCN,-4.09,-2.835
541,terbacil,Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl,-11.14,-13.769
545,benzamide,c1ccc(cc1)C(=O)N,-11.0,-10.412
547,glycerol,C(C(CO)O)O,-13.43,-10.14
549,2-methoxyethanamine,COCCN,-6.55,-5.027
550,"1,1,1,2-tetrachloroethane",C(C(Cl)(Cl)Cl)Cl,-1.43,-0.091
551,methyl propanoate,CCC(=O)OC,-2.93,-3.652
553,3-ethylpyridine,CCc1cccnc1,-4.59,-2.965
557,naphthalen-2-amine,c1ccc2cc(ccc2c1)N,-7.47,-8.003
559,1-methyl-3-nitro-benzene,Cc1cccc(c1)[N+](=O)[O-],-3.45,-3.278
560,"1,4-dichlorobutane",C(CCCl)CCl,-2.32,-0.404
562,tert-butylbenzene,CC(C)(C)c1ccccc1,-0.44,-0.803
563,methyl hexanoate,CCCCCC(=O)OC,-2.49,-3.299
569,hexan-1-amine,CCCCCCN,-3.95,-2.772
573,pentan-2-ol,CCC[C@@H](C)O,-4.39,-2.945
576,diethyl (2R)-2-dimethoxyphosphinothioylsulfanylbutanedioate,CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC,-8.15,-11.194
579,hept-2-ene,CCCC/C=C/C,1.68,2.78
580,1-propoxypropane,CCCOCCC,-1.16,-0.004
581,"(1R,2S,5R)-2-isopropyl-5-methylcyclohexanol",C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,-3.2,-3.35
588,1-acetoxyethyl acetate,CC(OC(=O)C)OC(=O)C,-4.97,-8.006
590,isopropenylbenzene,CC(=C)c1ccccc1,-1.24,-0.651
598,pyrene,c1cc2ccc3cccc4c3c2c(c1)cc4,-4.52,-6.79
599,1-chloro-pentane,CCCCCCl,-0.1,1.084
601,"2,2-dimethylbutane",CCC(C)(C)C,2.51,2.495
603,methyl 2-cyanoacetate,COC(=O)CC#N,-6.72,-6.36
611,hexan-2-one,CCCCC(=O)C,-3.28,-3.006
615,styrene,C=Cc1ccccc1,-1.24,-1.078
616,triethylphosphate,CCOP(=O)(OCC)OCC,-7.5,-10.251
618,1-butoxy-2-propanol,CCCCOC[C@H](C)O,-5.73,-3.891
622,pent-1-yne,CCCC#C,0.01,0.47
625,p-cresol,Cc1ccc(cc1)O,-6.13,-5.579
628,cyclopentene,C1CC=CC1,0.56,1.23
634,oct-2-enal,CCCCC/C=C/C=O,-3.43,-2.706
635,oct-1-yne,CCCCCCC#C,0.71,0.832
637,methyl octanoate,CCCCCCCC(=O)OC,-2.04,-3.035
638,pyrrolidine,C1CCNC1,-5.48,-4.278
