freessolv_index,iupac,delta_F,exp_dG,calc_dG,elapsed_time
125,"piperidine",-2.58182604445373,-5.11,-3.873,1634.6180400848389
126,"phenanthrene",-6.0969086542130535,-3.88,-5.264,1580.9041891098022
127,"iodomethane",-0.6532219772560515,-0.89,-0.641,1688.6039650440216
128,"3,5-dichloro-2,6-dimethoxyphenol",-4.152582457462363,-6.44,-5.98,1661.0819959640503
129,"(E)-1,2-dichloroethylene",0.9854643067684327,-0.78,1.024,1570.285614490509
130,"n-pentane",2.3423030712696766,2.3,2.673,1664.8742489814758
131,"butanenitrile",-2.019631283902079,-3.64,-2.287,1666.6083388328552
132,"2-bromo-1,1,1,2-tetrafluoro-ethane",-0.3436506573901832,0.5,0.234,1578.5824949741364
133,"2-isobutylpyrazine",-5.048005927451856,-5.04,-5.495,1673.602962732315
134,"[(2S)-butan-2-yl] nitrate",-0.9709480299366969,-1.82,-1.864,1673.5932745933533
135,"1,4-dichloro-2-phenyl-benzene",-1.8055645843802959,-2.46,-1.903,1582.0015454292297
136,"1,2,3,4-tetrachloro-5-phenyl-benzene",-1.8074975380427805,-3.48,-1.31,1576.7229418754578
137,"2,3-dimethylpentane",2.2473008782218913,2.52,2.625,1676.1529042720795
138,"4-methylpentan-2-ol",-2.5387072870054648,-3.73,-2.907,1688.3966591358185
139,"tetrahydropyran",-2.0380202964670304,-3.12,-1.809,1629.474541425705
140,"cyclopropane",1.7714459443395552,0.75,2.485,1654.8420910835266
141,"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",-0.7178139056291526,-3.17,-0.822,1573.224354505539
142,"1,1-dichloroethylene",1.096819586061011,0.25,1.108,1645.0532686710358
143,"2-methylpropan-1-ol",-2.49827378517921,-4.5,-3.13,1663.9186239242554
144,"propyl propanoate",-3.091660452829044,-2.44,-2.453,1703.3892450332642
145,"hexachloroethane",1.1352380577608023,-0.64,0.885,1511.6051051616669
146,"methylsulfanylbenzene",-1.9076814277768572,-2.73,-1.325,1695.0265443325043
147,"2-ethylphenol",-4.580375912840792,-5.66,-4.768,1682.2269005775452
148,"2-chloro-2-methyl-propane",0.4877636799156902,1.09,0.826,1715.7751653194427
149,"isoprene",1.5171837474453627,0.68,1.824,1674.0854365825653
150,"1-isopropyl-4-methyl-benzene",-0.9770233850214673,-0.68,-0.456,1655.3423879146576
151,"1-methylimidazole",-6.073515262557257,-8.41,-6.282,1676.1781466007233
152,"ethylene glycol",-6.448368090154733,-9.3,-7.266,1666.3760323524475
153,"1,2-dichlorobenzene",-0.6147124938992914,-1.36,-0.553,1595.7187445163727
154,"6-chlorouracil",-14.145497384834353,-15.83,-15.128,1604.0315947532654
155,"propyl formate",-2.97074036121306,-2.48,-3.699,1653.408103942871
156,"2-chlorodibenzo-p-dioxin",-3.189600249704393,-3.1,-4.054,1589.6315531730652
157,"hexanoic acid",-9.921910144070235,-6.21,-7.878,1656.4893386363983
158,"diethyl butanedioate",-6.4323464553112295,-5.71,-8.683,1697.6738696098328
159,"2,4-dimethylpyridine",-3.4948658609770935,-4.86,-3.282,1677.3263697624207
160,"cyclohexene",0.576515369052497,0.14,1.175,1629.2681574821472
161,"1,4-dimethylpiperazine",-8.036014066501588,-7.58,-7.874,1663.0692873001099
162,"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",-1.4575024853287877,-3.04,-1.083,1578.208744764328
163,"quinone",-6.523937259744219,-6.5,-6.96,1605.3691008090973
164,"methyl 2-chloroacetate",-3.576084903179569,-4.0,-3.816,1669.721352338791
165,"butanal",-3.1881580532608336,-3.18,-3.044,1668.5485310554504
166,"ethylbenzene",-1.1552171501833495,-0.79,-0.606,1676.2159614562988
167,"1,1,2-trichloroethylene",0.6802081063867784,-0.44,0.818,1569.780514240265
168,"N,N-diethylethanamine",-2.3188483717276487,-3.22,-1.955,1677.838088274002
169,"1,2,3,4,7-pentachlorodibenzo-p-dioxin",-1.9272148805092146,-4.15,-2.31,1580.5223326683044
170,"3,4-dimethylpyridine",-3.0878453143514637,-5.22,-3.201,1698.961695432663
171,"cyanuric acid",-20.45998975723924,-18.06,-21.762,1603.6247148513794
172,"benzaldehyde",-5.053518820258007,-4.02,-5.058,1590.9917469024658
173,"2-chloropyridine",-3.569736545925975,-4.39,-3.873,1588.048957824707
174,"3-chloroprop-1-ene",0.7046015989511354,-0.57,0.944,1665.2307665348053
175,"1-(p-tolyl)ethanone",-5.414372405352851,-4.7,-4.91,1690.8706641197205
176,"formaldehyde",-2.8231042668827735,-2.75,-3.155,1639.7108099460602
177,"1-chloro-2-methyl-benzene",-0.8173658350486751,-1.14,-0.473,1696.7656953334808
178,"1-pyrrolidin-1-ylethanone",-7.7329862106340705,-9.8,-7.831,1684.0275657176971
179,"1,1,1-trimethoxyethane",-4.001507965991481,-4.42,-3.7,1666.2050971984863
180,"butylbenzene",-0.9812651737575835,-0.4,-0.227,1676.0922148227692
181,"N,N-dimethylaniline",-4.5393675374484115,-3.45,-4.426,1686.0818152427673
182,"2-methoxypropane",-0.6710075694940888,-2.01,-0.657,1665.8057205677032
183,"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",-1.493007031006482,-4.53,-1.147,1536.1945612430573
184,"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",1.315217275637372,-2.98,0.76,1523.403207540512
185,"1,1,2-trichloroethane",-0.2920208822997397,-1.99,-0.384,1607.318930864334
186,"N-methylaniline",-5.450816014414294,-4.69,-5.719,1697.0478210449219
187,"isopropyl acetate",-3.5675424038078796,-2.64,-3.371,1661.7402155399323
188,"benzene",-1.2149262042251543,-0.9,-0.806,1589.2859733104706
189,"1,2,3-trichlorobenzene",-0.5394657965022365,-1.24,-0.51,1643.8604822158813
191,"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",-14.70698187337666,-10.03,-14.106,1671.9446833133698
192,"1,2,4-trichlorodibenzo-p-dioxin",-2.8300607219015306,-4.05,-3.16,1586.5333228111267
193,"2,3-dimethylbuta-1,3-diene",1.8735290684493,0.4,1.862,1703.8441240787506
194,"hex-1-ene",2.1316695682643627,1.58,2.628,1669.0391290187836
195,"hydrogen sulfide",-1.3792729820601985,-0.7,-1.135,1592.142202615738
196,"ethoxyethane",-0.736091530206553,-1.59,-0.617,1682.7549452781677
197,"2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",-10.50796941242209,-7.65,-10.552,1657.1368036270142
198,"butyl paraben",-8.455604868915188,-8.72,-8.771,1688.06227517128
199,"hexyl acetate",-2.941919199745045,-2.26,-2.219,1679.831444978714
200,"cyclopentanone",-3.8820131916494214,-4.7,-3.889,1672.3999996185303
201,"pentanoic acid",-12.947579177433022,-6.16,-9.053,1669.3097240924835
202,"bromoethane",0.5152679732399114,-0.74,0.487,1642.888548374176
203,"2,6-dimethylnaphthalene",-3.3626258540291136,-2.63,-2.848,1639.9377698898315
204,"hexan-1-ol",-2.7988955771431283,-4.4,-3.0,1667.0744376182556
205,"1-chloro-2-phenyl-benzene",-2.9134416716930076,-2.69,-2.508,1614.5607657432556
206,"1-methylcyclohexene",0.9365167938709631,0.67,1.338,1657.9077920913696
207,"hexyl nitrate",-0.38250154819656473,-1.66,-1.596,1680.8985214233398
208,"bromoform",-0.21135538772925158,-2.13,-0.531,1583.0971693992615
209,"4-ethylphenol",-5.188090227818071,-6.13,-5.453,1682.0040867328644
210,"2-propoxyethanol",-3.148647170582983,-6.4,-3.94,1681.626586675644
211,"phenyl formate",-6.268038639328424,-3.82,-5.442,1588.0734751224518
212,"5-iodouracil",-17.16058104385746,-18.72,-17.742,1587.603343486786
213,"butyric acid",-8.595991598539452,-6.35,-9.434,1665.0420169830322
214,"1,1,1-trifluoro-2,2,2-trimethoxyethane",-2.6960939135510262,-0.8,-2.319,1659.903814315796
215,"(2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",-10.842082489394308,-20.52,-14.148,1617.7968440055847
216,"bromo-trifluoro-methane",1.1945457433397915,1.79,1.564,1518.7462632656097
217,"butan-1-ol",-2.6576512316444365,-4.72,-3.232,1696.3716933727264
218,"fluorobenzene",-0.5817085563338139,-0.8,-0.041,1593.1695446968079
219,"ethyl acetate",-3.49533813384549,-2.94,-3.745,1664.5100734233856
220,"isobutyl 2-methylpropanoate",-2.7376860609440214,-1.69,-2.58,1687.6668314933777
221,"2-methoxy-2-methyl-propane",-0.8836858126116547,-2.21,-0.691,1653.2110002040863
222,"heptachlor",-0.6921794135969422,-2.55,-0.974,1611.756543636322
223,"pentan-3-one",-3.1711889241706306,-3.41,-3.05,1703.1815149784088
224,"methyl 2,2,2-trifluoroacetate",-1.333161045471158,-1.1,-1.353,1662.3116829395294
225,"naphthalene",-3.857617929446506,-2.4,-3.213,1630.4185109138489
226,"1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene",-0.7598055566921604,-4.4,-0.805,1573.0615100860596
227,"acetylsalicylic acid",-16.18802961754978,-9.94,-9.399,1661.2665657997131
228,"3,3-dimethylbutan-2-one",-3.265415986708877,-3.11,-3.234,1667.645369052887
229,"methyl methanesulfonate",-8.502137856502436,-4.87,-8.824,1678.3793523311615
230,"4-ethylpyridine",-2.9348815130233454,-4.73,-3.19,1681.9748122692108
231,"N-isopropylpropan-2-amine",-1.8528706836914897,-3.22,-1.985,1676.3214716911316
232,"2,7-dichlorodibenzo-p-dioxin",-2.454335927168133,-3.67,-3.321,1626.6970796585083
233,"heptan-1-amine",-1.9468790440057386,-3.79,-2.554,1663.7702949047089
234,"methylcyclopentane",1.3568774939957842,1.59,1.785,1665.79558634758
235,"propane",2.2486577834155472,2.0,2.495,1717.1633369922638
236,"2-methyltetrahydrofuran",-1.7071680068104802,-3.3,-1.984,1669.9531683921814
237,"naphthalen-1-yl N-methylcarbamate",-10.498860566078704,-9.45,-10.436,1684.4186444282532
238,"3-hydroxybenzaldehyde",-8.959892760461969,-9.52,-9.369,1623.278969526291
239,"anthracene",-5.975423073334916,-3.95,-5.187,1615.3139066696167
240,"dichloromethane",-0.14826716658139263,-1.31,0.038,1646.3405566215515
241,"methyl 2,2-dimethylpropanoate",-3.182987430435521,-2.4,-3.304,1670.966918706894
242,"trichloro(nitro)methane",0.5762669810552515,-1.45,-0.379,1558.8381190299988
243,"sulfolane",-10.768996622255157,-8.61,-9.624,1623.6545948982239
244,"2,6-dimethylphenol",-4.420328826596285,-5.26,-4.308,1694.9420311450958
245,"m-cresol",-5.067149011984881,-5.49,-5.378,1666.5763285160065
246,"1-amino-4-hydroxy-9,10-anthracenedione",-10.074549282916365,-9.53,-10.984,1662.909363746643
247,"1,4-diamino-9,10-anthracenedione",-13.206574642824915,-11.85,-15.252,1638.652488231659
248,"nonan-2-one",-2.890341137602136,-2.49,-2.563,1685.6257684230804
249,"butan-1-amine",-1.9553192387885032,-4.24,-2.961,1700.1176970005035
250,"ethyl butanoate",-2.8906913770948797,-2.49,-3.381,1684.84383893013
251,"4-methylaniline",-5.131437657750173,-5.57,-5.494,1712.799119234085
252,"1-iodohexane",-0.38607268249599097,0.08,0.043,1698.2864797115326
253,"1,1,2-trichloro-1,2,2-trifluoro-ethane",1.468123832635914,1.77,1.691,1513.185986995697
254,"trimethyl phosphate",-10.371259137669377,-8.7,-10.642,1702.72864818573
255,"1,3-dichlorobenzene",-0.25494995153709327,-0.98,-0.11,1619.5120253562927
256,"1,3-dimethylnaphthalene",-3.696737621582095,-2.47,-2.995,1667.041053056717
257,"isohexane",2.226472035310636,2.51,2.808,1692.7197906970978
259,"2-chloro-1,1,1-trifluoro-ethane",-0.5136907740411079,0.06,0.233,1643.9196257591248
260,"ethylene",2.1409487654030093,1.28,2.328,1618.7699739933014
261,"1-iodopentane",-0.19590431313803822,-0.14,-0.111,1706.8331389427185
262,"trimethoxymethane",-4.725444885852794,-4.42,-4.625,1675.208725452423
263,"decane",2.9615881320521065,3.16,3.335,1658.7210698127747
264,"1,2-dinitroxypropane",-2.546253918190399,-4.95,-5.646,1701.5009961128235
265,"prop-1-ene",2.1513588962927703,1.32,2.328,1689.0296547412872
266,"3-methyl-1H-indole",-7.454306359915502,-5.88,-8.161,1654.6973474025726
267,"(1R)-2,2,2-trichloro-1-dimethoxyphosphoryl-ethanol",-13.595551379458122,-12.74,-13.424,1662.2475981712341
268,"cyclohexane",1.1543217694967938,1.23,1.503,1636.0360627174377
269,"(2E)-3,7-dimethylocta-2,6-dien-1-ol",-2.3046937461415493,-4.45,-2.518,1700.114336490631
270,"cumene",-1.2858735617152168,-0.3,-0.674,1673.3367247581482
271,"2,3,4-trimethylpentane",1.979423026664294,2.56,2.674,1694.9201488494873
272,"3-methylbutan-2-one",-3.088597641173109,-3.24,-3.078,1675.6702489852905
273,"N-butylbutan-1-amine",-1.559920283453323,-3.24,-2.076,1675.329592704773
274,"butane-1-thiol",-0.4730394134429543,-0.99,-0.174,1681.4569935798645
275,"1,2,3,4-tetrachlorodibenzo-p-dioxin",-2.3771311648192106,-3.81,-2.775,1603.7384715080261
276,"2,6-dichlorosyringaldehyde",-7.843153402488646,-8.68,-9.846,1685.834450006485
277,"cyclohexanamine",-3.100882297785549,-4.59,-3.953,1612.375037431717
278,"chloro-difluoro-methane",-0.42091290101376394,-0.5,-0.067,1580.1211950778961
279,"methyl 4-nitrobenzoate",-5.519597424991464,-6.88,-6.588,1657.5517740249634
280,"1-(3-pyridyl)ethanone",-6.742368216853318,-8.26,-7.844,1688.9664933681488
281,"prop-1-yne",0.490763424501769,-0.48,0.065,1684.3304724693298
282,"nonanal",-2.6359649966736307,-2.07,-2.336,1690.239275932312
283,"propionic acid",-14.321384622123702,-6.46,-9.088,1709.4754371643066
284,"chloroform",0.23851954698354527,-1.08,0.285,1584.2859899997711
285,"1,2,3-trimethylbenzene",-1.5961725426141429,-1.21,-0.883,1681.8984942436218
286,"methane",2.3004881958684797,2.0,2.446,1745.6791529655457
287,"benzyl chloride",-1.994128637509895,-1.93,-1.742,1633.29843211174
288,"methylcyclohexane",1.2702383387909735,1.7,1.679,1665.618344783783
289,"2-methylthiophene",-0.6268022045286522,-1.38,-0.3,1709.492366552353
290,"pyridine",-3.3253627222882702,-4.69,-3.508,1585.1067576408386
291,"1-chlorobutane",0.8627193252329584,-0.16,0.993,1706.3469400405884
292,"2,5-dimethyltetrahydrofuran",-1.8194182885285475,-2.92,-1.787,1664.1256160736084
293,"4-methyl-2-methoxyphenol",-3.4697657000802806,-5.8,-4.547,1668.0361940860748
295,"toluene",-1.3235643587971628,-0.9,-0.79,1702.6608164310455
296,"isobutyl formate",-3.2067110029642185,-2.22,-3.458,1668.6224346160889
297,"ethyl paraben",-8.9001156241479,-9.2,-9.535,1703.4255242347717
298,"1,2-diethoxyethane",-2.9816548632683215,-3.54,-3.42,1706.8249859809875
299,"pentyl propanoate",-3.178940142190916,-2.11,-2.176,1681.8164517879486
300,"4-propylphenol",-4.881981540884876,-5.21,-5.211,1673.881207704544
301,"2-methylbut-2-ene",1.871151888186374,1.31,2.272,1698.345136642456
302,"1,2-dichloroethane",0.14300055831933475,-1.79,-0.363,1628.187979221344
303,"3,3-dimethylpentane",2.0194646667498612,2.56,2.593,1688.2261304855347
304,"2,3-dimethylnaphthalene",-3.9661979708309953,-2.78,-2.953,1673.242248058319
305,"2,6-dimethylpyridine",-3.944158997555007,-4.59,-3.443,1690.636977672577
306,"2,2-dichloro-1,1-difluoro-1-methoxy-ethane",-0.7439213979915383,-1.12,-0.685,1681.3160495758057
307,"2-ethoxyethyl acetate",-5.294246569586608,-5.31,-5.751,1674.0284204483032
308,"3-methoxyaniline",-6.663665379236666,-7.29,-7.201,1687.3673706054688
309,"pyridine-3-carbaldehyde",-7.056658359671495,-7.1,-7.425,1587.7214658260345
310,"2-methylbutan-2-ol",-2.823314451798425,-4.43,-2.933,1682.1177244186401
311,"alachlor",-8.796416891308159,-8.21,-6.851,1667.6638441085815
312,"1-methylpyrrole",-3.1113425529592487,-2.89,-2.374,1697.2582168579102
313,"dimethoxymethane",-2.3315228384688704,-2.93,-3.221,1672.7653110027313
314,"pentan-3-ol",-2.6308082068077963,-4.35,-2.786,1678.3340315818787
315,"undecan-2-one",-2.399183147647246,-2.15,-2.201,1651.7743964195251
316,"1-bromo-2-chloro-ethane",-0.7198010974131881,-1.95,-0.8,1644.2407577037811
317,"iodobenzene",-1.2232792604048512,-1.74,-1.057,1630.4658026695251
318,"3,5,5-trimethylcyclohex-2-en-1-one",-4.390263035680442,-5.18,-4.088,1665.4685056209564
319,"iodoethane",-0.601634443107223,-0.74,-0.609,1698.3999016284943
320,"4-propylguaiacol",-3.8871858946013615,-5.26,-4.127,1665.7618827819824
321,"2-bromopropane",0.44058241482475385,-0.48,0.448,1671.080846786499
322,"1-bromo-4-methyl-benzene",-0.9896598515664534,-1.39,-0.894,1695.6684727668762
323,"4-hydroxybenzonitrile",-7.0654506361394365,-10.17,-8.39,1575.7526280879974
324,"methylsulfonylmethane",-10.35277863950156,-10.08,-10.559,1687.3339796066284
325,"3-ethylphenol",-5.12828890898908,-6.25,-5.272,1682.6068472862244
326,"(1S,5R)-2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-ol",-3.277165605576727,-4.44,-3.257,1698.1283826828003
327,"1,4-dibromobenzene",-1.1100824214509146,-2.3,-1.091,1596.4426374435425
